text,category,timestamp
I was missed due to illness due to medical reasons.,Exams,2026-02-17 16:07:49.912943
I cannot see this week.,Timetable,2026-01-23 13:45:42.912943
I update my profile details.,General,2026-02-06 20:44:02.913941
Can you help me to ask about library hours.,General,2026-01-27 10:12:47.912943
Can you help me to know about student clubs.,General,2026-02-06 11:13:44.912943
Can you help me to update my profile details.,General,2026-02-10 06:32:10.912943
The transaction is showing an error this afternoon.,Fees,2026-02-01 18:15:50.912943
The portal is crashing after password reset.,IT,2026-01-25 01:11:25.912943
The system keeps showing an error when I try to sign in.,IT,2026-02-09 20:53:32.912943
The schedule has overlapping classes for this semester.,Timetable,2026-02-10 18:20:36.912943
My fee payment is showing an error this afternoon.,Fees,2026-02-11 08:29:39.912943
The exam schedule is not showing due to medical reasons.,Exams,2026-02-14 01:25:59.912943
Moodle cannot access since yesterday.,IT,2026-02-15 14:30:50.911954
The tuition fee is showing an error this afternoon.,Fees,2026-01-29 08:40:33.912943
My fee payment was deducted but not reflected yesterday.,Fees,2026-01-31 22:53:53.912943
My fee payment is showing an error during checkout.,Fees,2026-02-12 22:35:17.912943
I cannot access after password reset.,IT,2026-02-10 14:20:51.911954
Can you help me to update my profile details.,General,2026-02-15 01:15:27.912943
The transaction failed while paying online.,Fees,2026-02-11 13:23:21.912943
My payment is showing an error this afternoon.,Fees,2026-01-30 21:29:15.912943
The schedule cannot see since registration.,Timetable,2026-02-15 11:01:23.912943
I would like to know about student clubs.,General,2026-02-06 20:00:52.913941
The transaction was deducted but not reflected after submission.,Fees,2026-01-21 07:13:06.912943
The schedule is missing on the portal.,Timetable,2026-02-12 19:35:57.912943
I would like to change my contact information.,General,2026-01-24 08:34:15.912943
My fee payment failed this afternoon.,Fees,2026-02-16 09:43:57.912943
I would like to update my profile details.,General,2026-01-24 01:17:16.913941
My exam was missed due to illness during finals week.,Exams,2026-01-28 23:04:28.912943
I cannot see since registration.,Timetable,2026-02-03 00:51:15.912943
I has a clash because of emergency.,Exams,2026-01-29 20:28:47.912943
Can you help me to ask about library hours.,General,2026-02-10 17:14:49.913941
The tuition fee failed during checkout.,Fees,2026-02-05 10:31:22.912943
My account is crashing when I try to sign in.,IT,2026-02-17 02:02:24.911954
The system is not working after password reset.,IT,2026-02-06 14:50:47.912943
The exam schedule has a clash during finals week.,Exams,2026-02-15 22:29:04.912943
My exam has a clash during finals week.,Exams,2026-02-17 12:22:45.912943
The exam schedule need a deferral due to medical reasons.,Exams,2026-01-23 06:25:28.912943
Moodle is not working this morning.,IT,2026-01-20 20:20:22.912943
My exam was missed due to illness this semester.,Exams,2026-02-15 17:52:47.912943
The portal cannot access this morning.,IT,2026-02-05 00:46:43.912943
My timetable is incorrect for this semester.,Timetable,2026-01-24 07:45:31.912943
I would like to ask about library hours.,General,2026-01-30 07:44:59.912943
My timetable is not updated since registration.,Timetable,2026-01-18 10:56:42.912943
I change my contact information.,General,2026-01-31 18:44:21.912943
Moodle cannot access after password reset.,IT,2026-02-01 15:58:11.912943
I cannot access when I try to sign in.,IT,2026-01-22 21:56:13.912943
The schedule is not updated since registration.,Timetable,2026-01-21 17:03:51.912943
The system cannot access when I try to sign in.,IT,2026-02-10 12:20:07.912943
My timetable is incorrect this week.,Timetable,2026-02-12 19:47:06.912943
I would like to change my contact information.,General,2026-01-31 20:58:51.912943
The system cannot access during login.,IT,2026-02-09 18:16:18.912943
Can you help me to change my contact information.,General,2026-02-08 22:34:10.912943
I update my profile details.,General,2026-01-23 16:26:50.912943
The exam schedule has a clash because of emergency.,Exams,2026-02-03 08:57:58.912943
My payment was declined after submission.,Fees,2026-02-02 22:15:35.912943
The schedule cannot see this week.,Timetable,2026-02-03 07:25:42.912943
The tuition fee did not go through yesterday.,Fees,2026-02-04 07:38:03.912943
My exam was missed due to illness due to medical reasons.,Exams,2026-01-30 11:42:07.912943
I is not updated after enrollment.,Timetable,2026-01-26 17:52:36.912943
My timetable is missing since registration.,Timetable,2026-01-31 17:12:29.912943
My exam has a clash due to medical reasons.,Exams,2026-02-14 09:06:00.912943
My timetable cannot see after enrollment.,Timetable,2026-01-25 05:15:14.912943
Moodle is not working during login.,IT,2026-02-08 14:32:53.912943
I was missed due to illness due to medical reasons.,Exams,2026-01-25 17:41:23.912943
Can you help me to change my contact information.,General,2026-02-02 13:15:05.913941
Moodle keeps showing an error since yesterday.,IT,2026-02-11 01:49:26.912943
I is not showing due to medical reasons.,Exams,2026-02-07 18:06:21.912943
The exam schedule needs clarification due to medical reasons.,Exams,2026-02-14 13:57:40.912943
I get information about campus facilities.,General,2026-01-29 04:00:45.912943
I is not showing due to medical reasons.,Exams,2026-01-25 07:20:47.912943
My fee payment failed this afternoon.,Fees,2026-02-10 18:03:21.912943
My account is crashing this morning.,IT,2026-02-10 06:07:09.912943
I would like to ask about library hours.,General,2026-01-29 16:41:40.912943
The transaction is showing an error after submission.,Fees,2026-02-03 14:41:37.912943
The exam schedule was missed due to illness for tomorrow.,Exams,2026-02-16 10:19:54.912943
My payment was deducted but not reflected while paying online.,Fees,2026-02-11 06:49:21.912943
My exam was missed due to illness this semester.,Exams,2026-01-28 20:10:22.912943
I know about student clubs.,General,2026-02-15 03:53:17.912943
I is not working during login.,IT,2026-01-23 07:06:14.912943
My timetable is incorrect for this semester.,Timetable,2026-02-10 11:59:05.912943
The tuition fee was deducted but not reflected after submission.,Fees,2026-02-15 10:27:08.912943
My fee payment was deducted but not reflected after submission.,Fees,2026-01-26 11:42:35.912943
I ask about library hours.,General,2026-01-21 13:22:19.912943
The portal won't let me log in during login.,IT,2026-01-23 05:15:14.912943
The schedule has overlapping classes this week.,Timetable,2026-01-27 13:42:21.912943
I would like to change my contact information.,General,2026-02-06 01:42:21.912943
I would like to change my contact information.,General,2026-01-24 01:22:35.912943
I need a deferral because of emergency.,Exams,2026-02-15 14:45:06.912943
The schedule is not updated this week.,Timetable,2026-01-18 21:43:08.912943
The schedule cannot see on the portal.,Timetable,2026-02-13 01:58:55.912943
I won't let me log in after password reset.,IT,2026-02-16 22:20:43.912943
The system keeps showing an error during login.,IT,2026-02-16 13:42:16.912943
The exam schedule need a deferral because of emergency.,Exams,2026-02-06 12:55:45.912943
The exam schedule needs clarification due to medical reasons.,Exams,2026-01-24 14:05:45.912943
My timetable is not updated on the portal.,Timetable,2026-02-10 05:41:04.912943
Moodle keeps showing an error this morning.,IT,2026-02-04 05:28:14.912943
Moodle is crashing since yesterday.,IT,2026-01-19 08:41:32.912943
I is missing this week.,Timetable,2026-02-04 01:52:10.912943
I need a deferral due to medical reasons.,Exams,2026-01-21 02:13:17.912943
My timetable is not updated since registration.,Timetable,2026-02-08 01:46:16.912943
My timetable cannot see after enrollment.,Timetable,2026-01-25 11:36:15.912943
The exam schedule needs clarification for tomorrow.,Exams,2026-02-15 19:21:59.912943
The tuition fee did not go through after submission.,Fees,2026-01-27 18:18:34.912943
Moodle keeps showing an error after password reset.,IT,2026-02-13 14:38:06.912943
I was missed due to illness for tomorrow.,Exams,2026-01-30 02:01:39.912943
The tuition fee did not go through yesterday.,Fees,2026-01-29 16:55:34.912943
I has a clash for tomorrow.,Exams,2026-02-15 03:09:36.912943
I is not working during login.,IT,2026-02-11 02:56:55.912943
My fee payment was declined during checkout.,Fees,2026-02-09 20:51:30.912943
Moodle is not working when I try to sign in.,IT,2026-02-13 01:41:00.912943
My exam need a deferral during finals week.,Exams,2026-01-20 02:02:03.912943
I would like to ask about library hours.,General,2026-02-10 08:24:52.913941
The tuition fee is showing an error after submission.,Fees,2026-01-20 01:12:31.912943
I would like to ask about library hours.,General,2026-01-18 20:13:18.912943
My exam was missed due to illness this semester.,Exams,2026-02-01 02:07:54.912943
The exam schedule need a deferral for tomorrow.,Exams,2026-02-02 06:09:11.912943
The tuition fee did not go through during checkout.,Fees,2026-02-17 20:47:30.912943
My account cannot access when I try to sign in.,IT,2026-02-15 00:58:30.911954
My exam needs clarification due to medical reasons.,Exams,2026-02-11 03:49:13.912943
Can you help me to change my contact information.,General,2026-01-23 17:33:52.913941
I has a clash during finals week.,Exams,2026-02-16 19:30:14.912943
I is incorrect since registration.,Timetable,2026-02-07 03:59:17.912943
The schedule is missing after enrollment.,Timetable,2026-02-03 04:49:35.912943
I would like to ask about library hours.,General,2026-01-20 19:35:23.913941
Can you help me to update my profile details.,General,2026-01-29 12:06:01.912943
My exam was missed due to illness during finals week.,Exams,2026-02-08 05:57:18.912943
The transaction was declined this afternoon.,Fees,2026-01-24 04:52:15.912943
I has a clash for tomorrow.,Exams,2026-01-18 21:07:10.912943
I get information about campus facilities.,General,2026-01-17 23:36:41.912943
I needs clarification due to medical reasons.,Exams,2026-01-22 05:57:46.912943
My fee payment was deducted but not reflected while paying online.,Fees,2026-01-22 14:11:16.912943
I is not working during login.,IT,2026-02-04 04:47:34.912943
The schedule is incorrect since registration.,Timetable,2026-01-25 02:26:07.912943
My fee payment is showing an error while paying online.,Fees,2026-01-24 13:28:21.912943
The tuition fee is showing an error during checkout.,Fees,2026-01-29 03:01:39.912943
The transaction failed while paying online.,Fees,2026-02-01 11:12:49.912943
I update my profile details.,General,2026-02-07 11:11:05.913941
The portal keeps showing an error since yesterday.,IT,2026-01-24 16:39:41.912943
I update my profile details.,General,2026-02-13 19:39:53.912943
I know about student clubs.,General,2026-02-12 00:32:30.912943
The schedule cannot see since registration.,Timetable,2026-01-25 10:44:20.912943
The schedule is incorrect this week.,Timetable,2026-02-16 16:05:45.912943
I is missing since registration.,Timetable,2026-02-09 01:00:29.912943
My timetable is not updated since registration.,Timetable,2026-01-19 12:20:49.912943
I change my contact information.,General,2026-02-03 20:11:15.913941
Moodle is not working since yesterday.,IT,2026-02-13 22:28:53.912943
The schedule is incorrect since registration.,Timetable,2026-02-02 06:26:14.912943
The tuition fee is showing an error during checkout.,Fees,2026-02-16 11:15:03.912943
Can you help me to update my profile details.,General,2026-02-05 16:51:29.912943
I know about student clubs.,General,2026-01-20 03:47:01.912943
The transaction failed during checkout.,Fees,2026-01-27 11:10:20.912943
My fee payment failed this afternoon.,Fees,2026-01-19 02:52:12.912943
The schedule is incorrect for this semester.,Timetable,2026-02-15 14:08:22.912943
I is not working after password reset.,IT,2026-02-15 13:59:55.912943
My account is crashing this morning.,IT,2026-02-15 20:45:32.912943
